序号|营业机构号|交易柜员|尾箱号/现金调拨编号|纸币/硬币标志(1-纸币,2-硬币)|券别|币种|金额|
1|8913 |12014316|0001 |2|0.010000|01|0.030000| 
2|8913 |12014316|0001 |2|0.020000|01|0.080000| 
3|8913 |12014316|0001 |2|0.050000|01|0.050000| 
4|8913 |12014316|0001 |2|0.100000|01|76.300000| 
5|8913 |12014316|0001 |2|0.500000|01|825.000000| 
6|8913 |12014316|0001 |2|1.000000|01|10369.000000| 
7|8913 |12014316|0001 |1|2.000000|01|129.000000| 
8|8913 |12014316|0001 |1|5.000000|01|5947.500000| 
9|8913 |12014316|0001 |1|10.000000|01|121495.000000| 
10|8913 |12014316|0001 |1|20.000000|01|30040.000000| 
11|8913 |12014316|0001 |1|50.000000|01|12800.000000| 
12|8913 |12014316|0001 |1|100.000000|01|785800.000000|
